"sample #','MLII', 'beat'"
"1330,934,F"
"1331,935,F"
"1332,938,F"
"1333,940,F"
"1334,942,F"
"1335,939,F"
"1336,940,F"
"1337,943,F"
"1338,948,F"
"1339,950,F"
"1340,951,F"
"1341,951,F"
"1342,951,F"
"1343,955,F"
"1344,958,F"
"1345,961,F"
"1346,963,F"
"1347,963,F"
"1348,960,F"
"1349,962,F"
"1350,962,F"
"1351,963,F"
"1352,962,F"
"1353,961,F"
"1354,960,F"
"1355,961,F"
"1356,963,F"
"1357,963,F"
"1358,965,F"
"1359,962,F"
"1360,960,F"
"1361,962,F"
"1362,961,F"
"1363,965,F"
"1364,964,F"
"1365,963,F"
"1366,964,F"
"1367,967,F"
"1368,968,F"
"1369,966,F"
"1370,965,F"
"1371,963,F"
"1372,959,F"
"1373,963,F"
"1374,964,F"
"1375,964,F"
"1376,961,F"
"1377,959,F"
"1378,957,F"
"1379,959,F"
"1380,961,F"
"1381,960,F"
"1382,957,F"
"1383,958,F"
"1384,956,F"
"1385,959,F"
"1386,959,F"
"1387,960,F"
"1388,961,F"
"1389,957,F"
"1390,957,F"
"1391,955,F"
"1392,957,F"
"1393,959,F"
"1394,958,F"
"1395,961,F"
"1396,957,F"
"1397,958,F"
"1398,958,F"
"1399,958,F"
"1400,958,F"
"1401,957,F"
"1402,956,F"
"1403,958,F"
"1404,960,F"
"1405,961,F"
"1406,959,F"
"1407,957,F"
"1408,953,F"
"1409,955,F"
"1410,956,F"
"1411,957,F"
"1412,960,F"
"1413,959,F"
"1414,954,F"
"1415,958,F"
"1416,961,F"
"1417,961,F"
"1418,958,F"
"1419,958,F"
"1420,957,F"
"1421,957,F"
"1422,958,F"
"1423,958,F"
"1424,958,F"
"1425,956,F"
"1426,956,F"
"1427,956,F"
"1428,959,F"
"1429,959,F"
"1430,959,F"
"1431,955,F"
"1432,954,F"
"1433,956,F"
"1434,958,F"
"1435,960,F"
"1436,962,F"
"1437,963,F"
"1438,963,F"
"1439,969,F"
"1440,970,F"
"1441,973,F"
"1442,972,F"
"1443,971,F"
"1444,972,F"
"1445,974,F"
"1446,977,F"
"1447,977,F"
"1448,980,F"
"1449,977,F"
"1450,977,F"
"1451,980,F"
"1452,978,F"
"1453,979,F"
"1454,977,F"
"1455,975,F"
"1456,973,F"
"1457,976,F"
"1458,978,F"
"1459,978,F"
"1460,974,F"
"1461,973,F"
"1462,974,F"
"1463,978,F"
"1464,983,F"
"1465,985,F"
"1466,982,F"
"1467,978,F"
"1468,970,F"
"1469,970,F"
"1470,967,F"
"1471,967,F"
"1472,962,F"
"1473,958,F"
"1474,956,F"
"1475,956,F"
"1476,955,F"
"1477,954,F"
"1478,954,F"
"1479,956,F"
"1480,953,F"
"1481,955,F"
"1482,956,F"
"1483,956,F"
"1484,955,F"
"1485,953,F"
"1486,950,F"
"1487,953,F"
"1488,950,F"
"1489,955,F"
"1490,956,F"
"1491,952,F"
"1492,948,F"
"1493,952,F"
"1494,955,F"
"1495,954,F"
"1496,954,F"
"1497,953,F"
"1498,948,F"
"1499,946,F"
"1500,945,F"
"1501,939,F"
"1502,933,F"
"1503,929,F"
"1504,922,F"
"1505,915,F"
"1506,916,F"
"1507,925,F"
"1508,943,F"
"1509,965,F"
"1510,992,F"
"1511,1032,F"
"1512,1087,F"
"1513,1143,F"
"1514,1184,F"
"1515,1201,T"
"1516,1183,F"
"1517,1128,F"
"1518,1050,F"
"1519,981,F"
"1520,939,F"
"1521,924,F"
"1522,926,F"
"1523,934,F"
"1524,944,F"
"1525,946,F"
"1526,945,F"
"1527,945,F"
"1528,944,F"
"1529,946,F"
"1530,948,F"
"1531,947,F"
"1532,947,F"
"1533,944,F"
"1534,942,F"
"1535,942,F"
"1536,946,F"
"1537,946,F"
"1538,943,F"
"1539,943,F"
"1540,941,F"
"1541,942,F"
"1542,945,F"
"1543,945,F"
"1544,944,F"
"1545,941,F"
"1546,941,F"
"1547,941,F"
"1548,944,F"
"1549,946,F"
"1550,946,F"
"1551,942,F"
"1552,941,F"
"1553,943,F"
"1554,945,F"
"1555,945,F"
"1556,945,F"
"1557,943,F"
"1558,942,F"
"1559,942,F"
"1560,944,F"
"1561,946,F"
"1562,945,F"
"1563,942,F"
"1564,939,F"
"1565,941,F"
"1566,943,F"
"1567,942,F"
"1568,943,F"
"1569,941,F"
"1570,939,F"
"1571,939,F"
"1572,942,F"
"1573,945,F"
"1574,946,F"
"1575,944,F"
"1576,942,F"
"1577,942,F"
"1578,944,F"
"1579,946,F"
"1580,942,F"
"1581,940,F"
"1582,940,F"
"1583,941,F"
"1584,941,F"
"1585,943,F"
"1586,940,F"
"1587,941,F"
"1588,939,F"
"1589,942,F"
"1590,944,F"
"1591,943,F"
"1592,944,F"
"1593,944,F"
"1594,942,F"
"1595,944,F"
"1596,945,F"
"1597,945,F"
"1598,943,F"
"1599,942,F"
"1600,939,F"
"1601,939,F"
"1602,942,F"
"1603,942,F"
"1604,940,F"
"1605,938,F"
"1606,935,F"
"1607,936,F"
"1608,937,F"
"1609,938,F"
"1610,938,F"
"1611,934,F"
"1612,935,F"
"1613,935,F"
"1614,937,F"
"1615,937,F"
"1616,935,F"
"1617,936,F"
"1618,934,F"
"1619,938,F"
"1620,938,F"
"1621,941,F"
"1622,944,F"
"1623,944,F"
"1624,947,F"
"1625,951,F"
"1626,957,F"
"1627,958,F"
"1628,959,F"
"1629,958,F"
"1630,958,F"
"1631,962,F"
"1632,965,F"
"1633,967,F"
"1634,966,F"
"1635,966,F"
"1636,962,F"
"1637,965,F"
"1638,967,F"
"1639,968,F"
"1640,964,F"
"1641,966,F"
"1642,965,F"
"1643,966,F"
"1644,968,F"
"1645,969,F"
"1646,969,F"
"1647,966,F"
"1648,966,F"
"1649,967,F"
"1650,970,F"
"1651,970,F"
"1652,970,F"
"1653,969,F"
"1654,966,F"
"1655,967,F"
"1656,969,F"
"1657,969,F"
"1658,966,F"
"1659,965,F"
"1660,963,F"
"1661,965,F"
"1662,965,F"
"1663,967,F"
"1664,966,F"
"1665,964,F"
"1666,963,F"
"1667,962,F"
"1668,965,F"
"1669,964,F"
"1670,963,F"
"1671,962,F"
"1672,959,F"
"1673,959,F"
"1674,961,F"
"1675,962,F"
"1676,961,F"
"1677,961,F"
"1678,959,F"
"1679,960,F"
"1680,962,F"
"1681,960,F"
"1682,961,F"
"1683,958,F"
"1684,958,F"
"1685,960,F"
"1686,962,F"
"1687,962,F"
"1688,962,F"
"1689,958,F"
"1690,957,F"
"1691,958,F"
"1692,960,F"
"1693,959,F"
"1694,959,F"
"1695,958,F"
"1696,957,F"
"1697,958,F"
"1698,959,F"
"1699,959,F"
"1700,960,F"
"1701,959,F"
"1702,958,F"
"1703,959,F"
"1704,961,F"
"1705,963,F"
"1706,959,F"
"1707,961,F"
"1708,957,F"
"1709,958,F"
"1710,962,F"
"1711,960,F"
"1712,958,F"
"1713,958,F"
"1714,957,F"
"1715,958,F"
"1716,958,F"
"1717,960,F"
"1718,960,F"
"1719,958,F"
"1720,958,F"
"1721,959,F"
"1722,961,F"
"1723,961,F"
"1724,961,F"
"1725,958,F"
"1726,958,F"
"1727,960,F"
"1728,961,F"
"1729,963,F"
"1730,963,F"
"1731,965,F"
"1732,961,F"
"1733,964,F"
"1734,969,F"
"1735,973,F"
"1736,973,F"
"1737,972,F"
"1738,971,F"
"1739,973,F"
"1740,977,F"
"1741,978,F"
"1742,979,F"
"1743,980,F"
"1744,980,F"
"1745,981,F"
"1746,984,F"
"1747,983,F"
"1748,983,F"
"1749,979,F"
"1750,977,F"
"1751,976,F"
"1752,978,F"
"1753,981,F"
"1754,976,F"
"1755,976,F"
"1756,974,F"
"1757,977,F"
"1758,982,F"
"1759,984,F"
"1760,980,F"
"1761,973,F"
"1762,969,F"
"1763,967,F"
"1764,964,F"
"1765,963,F"
"1766,960,F"
"1767,958,F"
"1768,959,F"
"1769,960,F"
"1770,958,F"
"1771,958,F"
"1772,957,F"
"1773,956,F"
"1774,955,F"
"1775,956,F"
"1776,957,F"
"1777,960,F"
"1778,959,F"
"1779,957,F"
"1780,955,F"
"1781,955,F"
"1782,955,F"
"1783,957,F"
"1784,956,F"
"1785,955,F"
"1786,953,F"
"1787,956,F"
"1788,956,F"
"1789,956,F"
"1790,956,F"
"1791,955,F"
"1792,953,F"
"1793,951,F"
"1794,950,F"
"1795,943,F"
"1796,935,F"
"1797,928,F"
"1798,925,F"
"1799,920,F"
"1800,917,F"
"1801,923,F"
"1802,941,F"
"1803,968,F"
"1804,997,F"
"1805,1037,F"
"1806,1084,F"
"1807,1140,F"
"1808,1186,F"
"1809,1213,T"
"1810,1208,F"
"1811,1179,F"
"1812,1113,F"
"1813,1028,F"
"1814,965,F"
"1815,935,F"
"1816,930,F"
"1817,939,F"
"1818,948,F"
"1819,952,F"
"1820,952,F"
"1821,950,F"
"1822,948,F"
"1823,948,F"
"1824,949,F"
"1825,950,F"
"1826,951,F"
"1827,950,F"
"1828,947,F"
"1829,947,F"
"1830,949,F"
"1831,950,F"
"1832,950,F"
"1833,947,F"
"1834,945,F"
"1835,947,F"
"1836,947,F"
"1837,946,F"
"1838,947,F"
"1839,945,F"
"1840,942,F"
"1841,944,F"
"1842,945,F"
"1843,948,F"
"1844,945,F"
"1845,945,F"
"1846,944,F"
"1847,944,F"
"1848,945,F"
"1849,946,F"
"1850,946,F"
"1851,945,F"
"1852,943,F"
"1853,946,F"
"1854,947,F"
"1855,949,F"
"1856,949,F"
"1857,948,F"
"1858,946,F"
"1859,947,F"
"1860,950,F"
"1861,950,F"
"1862,950,F"
"1863,949,F"
"1864,947,F"
"1865,950,F"
"1866,946,F"
"1867,949,F"
"1868,950,F"
"1869,948,F"
"1870,946,F"
"1871,946,F"
"1872,947,F"
"1873,949,F"
"1874,949,F"
"1875,947,F"
"1876,945,F"
"1877,946,F"
"1878,947,F"
"1879,949,F"
"1880,948,F"
"1881,947,F"
"1882,946,F"
"1883,948,F"
"1884,948,F"
"1885,950,F"
"1886,950,F"
"1887,951,F"
"1888,946,F"
"1889,951,F"
"1890,951,F"
"1891,952,F"
"1892,949,F"
"1893,948,F"
"1894,944,F"
"1895,946,F"
"1896,949,F"
"1897,949,F"
"1898,950,F"
"1899,947,F"
"1900,946,F"
"1901,946,F"
"1902,946,F"
"1903,946,F"
"1904,949,F"
"1905,947,F"
"1906,945,F"
"1907,948,F"
"1908,950,F"
"1909,949,F"
"1910,949,F"
"1911,946,F"
"1912,943,F"
"1913,949,F"
"1914,950,F"
"1915,952,F"
"1916,949,F"
"1917,947,F"
"1918,948,F"
"1919,950,F"
"1920,952,F"
"1921,955,F"
"1922,955,F"
"1923,958,F"
"1924,958,F"
"1925,961,F"
"1926,962,F"
"1927,965,F"
"1928,967,F"
"1929,967,F"
"1930,965,F"
"1931,968,F"
"1932,970,F"
"1933,968,F"
"1934,968,F"
"1935,968,F"
"1936,966,F"
"1937,966,F"
"1938,968,F"
"1939,969,F"
"1940,968,F"
"1941,967,F"
"1942,966,F"
"1943,966,F"
"1944,968,F"
"1945,968,F"
"1946,967,F"
"1947,966,F"
"1948,964,F"
"1949,965,F"
"1950,967,F"
"1951,968,F"
"1952,967,F"
"1953,967,F"
"1954,965,F"
"1955,967,F"
"1956,968,F"
"1957,969,F"
"1958,968,F"
"1959,966,F"
"1960,962,F"
"1961,963,F"
"1962,967,F"
"1963,970,F"
"1964,970,F"
"1965,969,F"
"1966,967,F"
"1967,967,F"
"1968,970,F"
"1969,971,F"
"1970,971,F"
"1971,971,F"
"1972,968,F"
"1973,971,F"
"1974,975,F"
"1975,977,F"
"1976,977,F"
"1977,974,F"
"1978,974,F"
"1979,975,F"
"1980,981,F"
"1981,980,F"
"1982,975,F"
"1983,973,F"
"1984,978,F"
"1985,983,F"
"1986,982,F"
"1987,980,F"
"1988,978,F"
"1989,976,F"
"1990,976,F"
"1991,975,F"
"1992,974,F"
"1993,970,F"
"1994,967,F"
"1995,961,F"
"1996,960,F"
"1997,960,F"
"1998,962,F"
"1999,958,F"
"2000,956,F"
"2001,955,F"
"2002,952,F"
"2003,951,F"
"2004,952,F"
"2005,954,F"
"2006,953,F"
"2007,949,F"
"2008,947,F"
"2009,949,F"
"2010,950,F"
"2011,951,F"
"2012,951,F"
"2013,950,F"
"2014,948,F"
"2015,952,F"
"2016,954,F"
"2017,953,F"
"2018,953,F"
"2019,954,F"
"2020,951,F"
"2021,954,F"
"2022,954,F"
"2023,956,F"
"2024,953,F"
"2025,954,F"
"2026,949,F"
"2027,951,F"
"2028,949,F"
"2029,944,F"
"2030,938,F"
"2031,929,F"
"2032,920,F"
"2033,920,F"
"2034,914,F"
"2035,910,F"
"2036,916,F"
"2037,935,F"
"2038,963,F"
"2039,996,F"
"2040,1029,F"
"2041,1076,F"
"2042,1126,F"
"2043,1171,F"
"2044,1193,T"
"2045,1199,F"
"2046,1171,F"
"2047,1104,F"
"2048,1019,F"
"2049,957,F"
"2050,928,F"
"2051,930,F"
"2052,941,F"
"2053,949,F"
"2054,951,F"
"2055,947,F"
"2056,944,F"
"2057,948,F"
"2058,946,F"
"2059,949,F"
"2060,947,F"
"2061,945,F"
"2062,943,F"
"2063,946,F"
"2064,948,F"
"2065,947,F"
"2066,947,F"
"2067,945,F"
"2068,944,F"
"2069,943,F"
"2070,944,F"
"2071,946,F"
"2072,946,F"
"2073,945,F"
"2074,944,F"
"2075,946,F"
"2076,947,F"
"2077,946,F"
"2078,947,F"
"2079,942,F"
"2080,940,F"
"2081,943,F"
"2082,942,F"
"2083,946,F"
"2084,946,F"
"2085,946,F"
"2086,944,F"
"2087,944,F"
"2088,946,F"
"2089,949,F"
"2090,948,F"
"2091,945,F"
"2092,944,F"
"2093,946,F"
"2094,944,F"
"2095,946,F"
"2096,945,F"
"2097,942,F"
"2098,941,F"
"2099,943,F"
"2100,947,F"
"2101,947,F"
"2102,948,F"
"2103,944,F"
"2104,944,F"
"2105,945,F"
"2106,946,F"
"2107,948,F"
"2108,949,F"
"2109,945,F"
"2110,945,F"
"2111,947,F"
"2112,948,F"
"2113,949,F"
"2114,947,F"
"2115,946,F"
"2116,944,F"
"2117,944,F"
"2118,947,F"
"2119,948,F"
"2120,945,F"
"2121,946,F"
"2122,944,F"
"2123,945,F"
"2124,947,F"
"2125,948,F"
"2126,947,F"
"2127,945,F"
"2128,943,F"
"2129,944,F"
"2130,946,F"
"2131,948,F"
"2132,948,F"
"2133,947,F"
"2134,943,F"
"2135,945,F"
"2136,944,F"
"2137,946,F"
"2138,944,F"
"2139,943,F"
"2140,939,F"
"2141,940,F"
"2142,943,F"
"2143,944,F"
"2144,943,F"
"2145,943,F"
"2146,941,F"
"2147,944,F"
"2148,946,F"
"2149,948,F"
"2150,947,F"
"2151,945,F"
"2152,943,F"
"2153,946,F"
"2154,950,F"
"2155,950,F"
"2156,950,F"
"2157,947,F"
"2158,950,F"
"2159,953,F"
"2160,955,F"
"2161,956,F"
"2162,957,F"
"2163,956,F"
"2164,953,F"
"2165,957,F"
"2166,959,F"
"2167,962,F"
"2168,963,F"
"2169,963,F"
"2170,960,F"
"2171,961,F"
"2172,962,F"
"2173,963,F"
"2174,963,F"
"2175,958,F"
"2176,959,F"
"2177,955,F"
"2178,959,F"
"2179,961,F"
"2180,961,F"
"2181,963,F"
"2182,962,F"
"2183,962,F"
"2184,964,F"
"2185,963,F"
"2186,963,F"
"2187,961,F"
"2188,960,F"
"2189,959,F"
"2190,961,F"
"2191,963,F"
"2192,961,F"
"2193,959,F"
"2194,959,F"
"2195,958,F"
"2196,961,F"
"2197,961,F"
"2198,962,F"
"2199,958,F"
"2200,956,F"
"2201,957,F"
"2202,958,F"
"2203,955,F"
"2204,953,F"
"2205,951,F"
"2206,950,F"
"2207,955,F"
"2208,956,F"
"2209,956,F"
"2210,955,F"
"2211,952,F"
"2212,951,F"
"2213,952,F"
"2214,952,F"
"2215,955,F"
"2216,953,F"
"2217,951,F"
"2218,954,F"
"2219,952,F"
"2220,954,F"
"2221,956,F"
"2222,955,F"
"2223,953,F"
"2224,950,F"
"2225,954,F"
"2226,954,F"
"2227,954,F"
"2228,955,F"
"2229,954,F"
"2230,953,F"
"2231,952,F"
"2232,955,F"
"2233,953,F"
"2234,954,F"
"2235,952,F"
"2236,950,F"
"2237,953,F"
"2238,953,F"
"2239,954,F"
"2240,953,F"
"2241,952,F"
"2242,946,F"
"2243,947,F"
"2244,952,F"
"2245,952,F"
"2246,950,F"
"2247,950,F"
"2248,946,F"
"2249,949,F"
"2250,950,F"
"2251,954,F"
"2252,956,F"
"2253,955,F"
"2254,952,F"
"2255,952,F"
"2256,954,F"
"2257,954,F"
"2258,957,F"
"2259,952,F"
"2260,951,F"
"2261,951,F"
"2262,952,F"
"2263,952,F"
"2264,951,F"
"2265,949,F"
"2266,947,F"
"2267,947,F"
"2268,951,F"
"2269,950,F"
"2270,949,F"
"2271,950,F"
"2272,949,F"
"2273,951,F"
"2274,953,F"
"2275,953,F"
"2276,952,F"
"2277,951,F"
"2278,950,F"
"2279,952,F"
"2280,954,F"
"2281,956,F"
"2282,955,F"
"2283,956,F"
"2284,954,F"
"2285,955,F"
"2286,954,F"
"2287,952,F"
"2288,954,F"
"2289,952,F"
"2290,950,F"
"2291,952,F"
"2292,952,F"
"2293,953,F"
"2294,952,F"
"2295,949,F"
"2296,949,F"
"2297,950,F"
"2298,954,F"
"2299,953,F"
"2300,952,F"
"2301,951,F"
"2302,949,F"
"2303,950,F"
"2304,951,F"
"2305,952,F"
"2306,953,F"
"2307,952,F"
"2308,952,F"
"2309,954,F"
"2310,956,F"
"2311,955,F"
"2312,955,F"
"2313,953,F"
"2314,952,F"
"2315,952,F"
"2316,951,F"
"2317,955,F"
"2318,953,F"
"2319,954,F"
"2320,952,F"
"2321,953,F"
"2322,952,F"
"2323,955,F"
"2324,957,F"
"2325,958,F"
"2326,958,F"
"2327,962,F"
"2328,963,F"
"2329,964,F"
"2330,963,F"
"2331,965,F"
"2332,963,F"
"2333,967,F"
"2334,969,F"
"2335,971,F"
"2336,973,F"
"2337,973,F"
"2338,972,F"
"2339,971,F"
"2340,973,F"
"2341,973,F"
"2342,972,F"
"2343,968,F"
"2344,966,F"
"2345,968,F"
"2346,970,F"
"2347,973,F"
"2348,969,F"
"2349,966,F"
"2350,960,F"
"2351,964,F"
"2352,965,F"
"2353,970,F"
"2354,971,F"
"2355,970,F"
"2356,967,F"
"2357,964,F"
"2358,962,F"
"2359,961,F"
"2360,960,F"
"2361,954,F"
"2362,950,F"
"2363,951,F"
"2364,951,F"
"2365,951,F"
"2366,950,F"
"2367,950,F"
"2368,950,F"
"2369,948,F"
"2370,952,F"
"2371,949,F"
"2372,949,F"
"2373,944,F"
"2374,940,F"
"2375,943,F"
"2376,944,F"
"2377,947,F"
"2378,948,F"
"2379,944,F"
"2380,941,F"
"2381,943,F"
"2382,945,F"
"2383,945,F"
"2384,945,F"
"2385,942,F"
"2386,938,F"
"2387,936,F"
"2388,933,F"
"2389,926,F"
"2390,927,F"
"2391,920,F"
"2392,910,F"
"2393,909,F"
"2394,919,F"
"2395,940,F"
"2396,963,F"
"2397,986,F"
"2398,1020,F"
"2399,1068,F"
"2400,1121,F"
"2401,1167,F"
"2402,1193,T"
