"sample #','MLII','V5'"
"271,964,982"
"272,963,981"
"273,962,981"
"274,960,978"
"275,958,981"
"276,959,980"
"277,961,983"
"278,962,983"
"279,963,982"
"280,963,981"
"281,962,979"
"282,964,981"
"283,963,981"
"284,966,981"
"285,964,979"
"286,964,979"
"287,963,979"
"288,963,983"
"289,966,985"
"290,968,982"
"291,965,982"
"292,963,981"
"293,961,977"
"294,963,978"
"295,965,980"
"296,966,980"
"297,968,978"
"298,970,979"
"299,969,978"
"300,969,981"
"301,970,985"
"302,974,985"
"303,974,986"
"304,973,984"
"305,979,985"
"306,980,988"
"307,983,990"
"308,984,988"
"309,983,989"
"310,981,985"
"311,978,985"
"312,980,990"
"313,979,989"
"314,979,989"
"315,979,988"
"316,978,987"
"317,977,987"
"318,976,989"
"319,977,989"
"320,980,989"
"321,982,986"
"322,983,983"
"323,975,984"
"324,967,983"
"325,967,983"
"326,964,981"
"327,962,981"
"328,958,979"
"329,958,981"
"330,959,982"
"331,961,984"
"332,960,981"
"333,961,979"
"334,959,975"
"335,956,975"
"336,955,974"
"337,956,979"
"338,956,978"
"339,954,977"
"340,955,976"
"341,953,977"
"342,958,977"
"343,957,980"
"344,958,978"
"345,960,976"
"346,955,976"
"347,953,975"
"348,956,979"
"349,958,979"
"350,959,977"
"351,958,974"
"352,954,970"
"353,951,968"
"354,952,966"
"355,948,964"
"356,939,958"
"357,935,952"
"358,929,953"
"359,922,963"
"360,917,983"
"3,619,231,008"
"3,629,411,027"
"3,639,641,037"
"3,649,921,047"
"36,510,211,062"
"36,610,711,084"
"36,711,221,106"
"36,811,681,123"
"36,911,991,121"
"37,012,121,096"
"37,112,051,045"
"3,721,175,991"
"3,731,122,954"
"3,741,057,934"
"3,751,002,930"
"376,970,934"
"377,946,945"
"378,934,955"
"379,929,962"
"380,933,965"
"381,939,967"
"382,946,965"
